Date,Description,Amount
11-15-2021,UNBOUNCE VANCOUVER BC AMT,-162.4
11-16-2021,BELL CANADA (OB) MONTREAL QC,-141.19
11-16-2021,BELL MOBILITY VERDUN QC,-426.78
11-16-2021,DNH*GODADDY.COM CAD 480-505-8855 BC,-22.6
11-22-2021,AMZN Mktp CA*MU2D11BO3 WWW.AMAZON.CA ON,-42.94
11-22-2021,APPLE.COM/BILL 866-712-7753 ON,-3.15
11-22-2021,APPLE.COM/BILL 866-712-7753 ON,-7.9
11-22-2021,PAYPAL *HOSTGATOR 402-935-7733 TX,-14.44
11-25-2021,CLEARLY CONTACTS VANCOUVER BC,-128
11-25-2021,PC PAYMENT FROM 5017,9350.75
11-26-2021,ASTLEY-GILBERT LTD NORTH YORK ON,-9350.75
11-29-2021,Amazon.ca*IU4U56D33 AMAZON.CA ON,-11.48
11-29-2021,AMZN Mktp CA*8E2MB9703 WWW.AMAZON.CAG ON,-15.36
11-29-2021,AMZN Mktp CA*C205Y3ZP3 WWW.AMAZON.CA ON,-11.29
11-29-2021,APPLE.COM/BILL 866-712-7753 ON,-23.7
11-30-2021,GOOGLE*ADS2840982341 SUPPORT.GOOGL,-114.71
12-01-2021,BAXTER'S LANDING #6417 OSHAWA ON,-66.67
12-01-2021,BWW 0290 OSHAWA OSHAWA ON,-32.05
12-01-2021,CA DROPBOX*6X5ZRWWKRWZP DROPBOX.COM CA,-18.07
12-01-2021,FACEBK 3KT729T6L2 650-5434800 CA,-62.48
12-01-2021,FACEBK Z4EV29XBF2 650-5434800 CA,-47.61
12-01-2021,MailChimp 000-0000000 GA,-115.36
12-02-2021,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGI,-26.44
12-06-2021,Amazon Downloads www.Amazon.ca ON,-11.29
12-06-2021,APPLE.COM/BILL 866-712-7753 ON,-5.64
12-06-2021,SWISS CHALET 1206E 905-623-5995 ON,-87.35
12-06-2021,WINNERS 426 BOWMANVILLE ON,-112.97
12-07-2021,ADOBE STOCK SAN JOSE CA,-44.06
12-07-2021,BROOKS BROTHERS OTTAWA ON,-473.92
12-07-2021,THAI EXPRESS OTTAWA ON,-15.49
12-07-2021,TRESTA 8504222527 FL AMT 19.29 UNIT,-24.81
12-08-2021,AMAYA EXPRESS OTTAWA ON,-22.85
12-08-2021,APPLE.COM/BILL 866-712-7753 ON,-7.9
12-08-2021,ED STATES DOL LAR Subway 31909 Ottawa ON,-5.53
12-08-2021,ENVATO 6138376628 UT AMT 198.00,-252.85
12-08-2021,FARM BOY #78 OTTAWA ON,-15.79
12-09-2021,APPLE.COM/BILL 866-712-7753 ON,-38.36
12-09-2021,UNIT ED STATES DOL LAR APPLE STORE #R332 OTTAWA ON,-45.14
12-10-2021,LIEUTENANT'S PUMP OTTAWA ON,-54.07
12-13-2021,ADOBE CREATIVE CLOUD SAN JOSE CA,-79.09
12-13-2021,Amazon.cawww.amazon.ca ON,-114.84
12-13-2021,AMZN Mktp CA*2Y6VQ7GB3,-12.42
12-13-2021,APPLE.COM/BILL 866-712-7753 ON,-90.39
12-13-2021,APPLE.COM/BILL 866-712-7753 ON,-135.59
12-13-2021,IMPARK00110003A OTTAWA ON,-150
12-13-2021,JIMMY THE GREEK #30 OTTAWA ON,-16.42
12-13-2021,UNBOUNCE VANCOUVER BC AMT,-164.13
12-13-2021,WEST BLOCK CAFETERIA OTTAWA ON,-5.77
12-13-2021,WWW.AMAZON.CA ON APPLE.COM/BILL 866-712-7753 ON,-87
12-14-2021,128.82 UNIT ED STATES DOL LAR RIDEAU CENTRE SHANGHAI 36 OTTAWA ON,-13.28
12-14-2021,BIG SMOKE BURGER OTTAWA ON,-18.48
12-14-2021,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-139.85
12-14-2021,CREDIT VOUCHER/RETURN APPLE.COM/BILL 866-712-7753 ON,90.39
12-14-2021,Subway 31909 Ottawa ON,-8.34
12-16-2021,APPLE.COM/BILL 866-712-7753 ON,-23.7
12-16-2021,IMPARK00110003A OTTAWA ON,-90
12-16-2021,RIDEAU BOURBON ST. GRILL OTTAWA ON,-19.49
12-16-2021,Subway 31909 Ottawa ON,-5.53
12-17-2021,WESTIN (WESTIN HOTELS) OTTAWA ON,-2644.2
12-20-2021,AMZN Mktp CA*4H6FG5YL3 WWW.AMAZON.CA. ON,-20.33
12-21-2021,BELL CANADA (OB) MONTREAL QC,-151.95
12-21-2021,BELL MOBILITY VERDUN QC,-430
12-22-2021,AMZN Mktp CA*K50315GZ3,-90.39
12-22-2021,PAYPAL *HOSTGATOR 402-935-7733 TX,-14.79
12-23-2021,AMZN Mktp CA*XS5E88AM3 WWW.AMAZON.CA ON,-22.85
12-29-2021,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-50
12-29-2021,PAYPAL *PRO EDU 402-935-7733 MO,-76
12-30-2021,APPLE.COM/BILL 866-712-7753 ON,-23.7
12-31-2021,DROPBOX*DM821FKZJ2WS DROPBOX.COM CA,-18.07
12-31-2021,MailChimp 000-0000000 GA,-115.75
01-04-2022,Amazon Downloads www.Amazon.ca ON,-16.94
01-04-2022,AMZN Mktp CA*XO0WC1ZE3 WWW.AMAZON.CA ON,-19.2
01-04-2022,APPLE.COM/BILL 866-712-7753 ON,-5.64
01-04-2022,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGL CA,-26.44
01-04-2022,PAYPAL *WEATHERBYST JOHN 402-935-7733 FL,-52.41
01-07-2022,ADOBE STOCK SAN JOSE CA,-44.06
01-07-2022,AMZN Mktp CA*1T83R1FD0 WWW.AMAZON.CA ON,-90.29
01-07-2022,AMZN Mktp CA*ESOLL9EO3 WWW.AMAZON.CA ON,-21.98
01-07-2022,TRESTA TALLAHASSEE FL AMT 19.29 UNIT ED STATES DOL LAR,-24.63
01-10-2022,APPLE.COM/BILL 866-712-7753 ON,-38.36
01-12-2022,Amazon Downloads www.Amazon.ca ON,-9.99
01-12-2022,Amazon.ca www.amazon.ca ON,-69.6
01-12-2022,APPLE.COM/BILL 866-712-7753 ON,-30.46
01-13-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-79.09
01-13-2022,PAYPAL *HOSTGATOR 402-935-7733 TX,-94.95
01-13-2022,UNBOUNCE VANCOUVER BC AMT,-162.12
01-17-2022,128.82 UNIT FD STATES DOL LAR PAYPAL *MANTALKS 4029357733 BC,-35.38
01-17-2022,Amazon.ca*0S5S89IX3 AMAZON.CA ON,-23.19
01-17-2022,APPLE.COM/BILL 866-712-7753 ON,-88.11
01-17-2022,APPLE.COM/BILL 866-712-7753 ON,-11.85
01-17-2022,INTEREST CHARGES-PURCHASE,-145.62
01-18-2022,DNH*GODADDY.COM CAD 480-505-8855 BC,-121.63
01-19-2022,DNH*GODADDY.COM CAD 480-505-8855 BC,-241.67
01-21-2022,PC PAYMENT FROM *****00* 5017,870
01-21-2022,PC PAYMENT FROM *****00* 5017,5000
01-24-2022,Amazon Downloads www.Amazon.ca ON,-11.29
01-24-2022,BELL MOBILITY VERDUN QC,-868.83
01-24-2022,MAB- BLASE GRINNER GOLDEN BEACH AMT 5.90 UNIT ED STATES DOL LAR,-7.43
01-24-2022,PAYPAL *HOSTGATOR 402-935-7733 TX,-14.28
01-27-2022,APPLE.COM/BILL 866-712-7753 ON,-5.64
01-28-2022,Amazon Downloads www.Amazon.ca ON,-13.55
01-31-2022,APPLE.COM/BILL 866-712-7753 ON,-23.7
01-31-2022,DROPBOX*SS2WBLGPJ4Q5DROPBOX.COM CA,-18.07
01-31-2022,MailChimp 000-0000000 GA,-115.4
01-31-2022,PAYPAL *AMANDADIAZ 402-935-7733 CA,-35.99
01-31-2022,SQUARESPACE INC. HTTPSSQUARESP NY AMT 172.80 UNIT ED STATES DOL LAR,-221.18
01-31-2022,SQUARESPACE INC. HTTPSSQUARESP NY AMT 30.00 UNIT ED STATES DOL LAR,-38.4
02-01-2022,BELL CANADA (OB) MONTREAL QC,-316.28
02-03-2022,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGL CA,-26.44
02-04-2022,PAYPAL *WONDERSHARE 4029357733,-114.66
02-07-2022,ADOBE STOCK SAN JOSE CA,-44.06
02-07-2022,PAYPAL *WYOMING HOM 402-935-7733 CA,-47.64
02-07-2022,TRESTA TALLAHASSEE FL AMT 19.29,-24.67
02-09-2022,EDDIE BAUER CANADA #82 OSHAWA ON,-252.33
02-09-2022,UNIT ED STATES DOL LAR APPLE.COM/BILL 866-712-7753 ON,-38.36
02-10-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-86.21
02-11-2022,Amazon.ca www.amazon.ca ON,-69.6
02-14-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-79.09
02-14-2022,Amazon Downloads www.Amazon.ca ON,-19.99
02-14-2022,Amazon Downloads www.Amazon.ca ON,-11.29
02-14-2022,CLEARLY CONTACTS VANCOUVER BC,-276.95
02-14-2022,CREDIT VOUCHER/RETURN - Pts for Credit TORONTO ON,500
02-14-2022,CREDIT VOUCHER/RETURN - Pts for Credit TORONTO ON,500
02-14-2022,INTEREST CHARGES-PURCHASE,-9.03
02-14-2022,MB-CREDIT CARD/LOC PAY. FROM *****00* 5017,3800
02-14-2022,PAYPAL *MANTALKS 4029357733 BC,-35.87
02-14-2022,UNBOUNCE VANCOUVER BC AMT 128.82 UNIT ED STATES DOL LAR,-164.34
02-15-2022,AMZN Mktp CA* 1Z56T53P3,-19.96
02-15-2022,PAYPAL *HUION 51315618,-855.82
02-17-2022,WWW.AMAZON.CA ON APPLE.COM/BILL 866-712-7753 ON,-23.7
02-18-2022,DURHAM PCPO TORONTO ON,-5
02-18-2022,DURHAM PCPO TORONTO ON,-5
02-22-2022,PAYPAL *HOSTGATOR 402-935-7733 TX,-14.55
02-23-2022,PAYPAL *PAPERLIKE 35314369001,-49.99
02-24-2022,APPLE.COM/BILL 866-712-7753 ON,-7.9
02-24-2022,STROBEPRO CALGARY AB,-694.71
02-25-2022,APPLE.COM/BILL 866-712-7753 ON,-16.94
02-28-2022,ADOBE SAN JOSE CA,-44.06
02-28-2022,Amazon.ca*1195K6JJ2 AMAZON.CA ON,-51.42
02-28-2022,CREDIT VOUCHER/RETURN ADOBE CREATIVE CLOUD SAN JOSE CA,41.01
02-28-2022,CS ADDTL STORAGE SAN JOSE CA,-14.68
02-28-2022,PAYPAL *AUGUSTDERIN 4029357733 ON,-78.48
03-01-2022,DROPBOX*NZCZZTHJMTS9 DROPBOX.COM CA,-18.07
03-01-2022,MailChimp 000-0000000 GA,-128.76
03-03-2022,PC PAYMENT FROM *****00* 5017,4000
03-04-2022,APPLE.COM/BILL 866-712-7753 ON,-23.7
03-04-2022,BELL CANADA (OB) MONTREAL QC,-162.89
03-04-2022,BELL MOBILITY VERDUN QC,-440.53
03-04-2022,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGL,-26.44
03-07-2022,ADOBE STOCK SAN JOSE CA,-44.06
03-07-2022,Amazon.ca*1W7NF8M10 AMAZON.CA ON,-66.92
03-07-2022,APPLE.COM/BILL 866-712-7753 ON,-11.85
03-07-2022,ASTLEY-GILBERT LTD NORTH YORK ON,-7178.11
03-07-2022,BEST BUY #959 WHITBY ON,-225.99
03-07-2022,CROWS SPORTS OSHAWA ON,-10
03-07-2022,IKEA NORTH YORK NORTH YORK ON,-246.34
03-07-2022,TRESTA TALLAHASSEE FL AMT 19.29,-24.68
03-08-2022,UNIT FD STATES DOI LAR DOMINOS PIZZA 10430 905-697-2100 ON,-45.28
03-09-2022,AMZN Mktp CA*1Z7QUOTN1,-42.19
03-09-2022,APPLE.COM/BILL TORONTO ON,-38.36
03-09-2022,WWW.AMAZON.CA ON AMZN Mktp CA*1Z74B7EQ1 WWW.AMAZON.CA ON,-214.69
03-10-2022,Amazon.ca*1W9HO2HM2 AMAZON.CA ON,-55.32
03-10-2022,AMZN Mktp CA*1W0CB75R2 WWW.AMAZON.CA ON,-153.68
03-14-2022,128.82 UNIT FD STATES DOL LAR PAYPAL *MANTALKS 4029357733 BC,-35.98
03-14-2022,Amazon.ca www.amazon.ca ON,-69.6
03-14-2022,MB-CREDIT CARD/LOC PAY. FROM,8965.78
03-14-2022,UNBOUNCE VANCOUVER BC AMT,-164.85
03-22-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-100
03-22-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-14.42
03-22-2022,STAPLES 429 BOWMANVILLE ON,-168.65
03-24-2022,APPLE.COM/BILL TORONTO ON,-20.31
03-25-2022,Amazon Downloads www.Amazon.ca ON,-15.58
03-28-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-44.06
03-28-2022,ADOBE PRODUCTS SAN JOSE CA,-14.68
03-28-2022,APPLE.COM/BILL TORONTO ON,-8.46
03-29-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-100
03-30-2022,PAYPAL *FOXBACKDROP 4029357733,-236.1
03-31-2022,Amazon Downloads www.Amazon.ca ON,-13.55
03-31-2022,DROPBOX*W9T2568CSZVW DROPBOX.COM CA,-18.07
03-31-2022,MailChimp 000-0000000 GA,-125.84
04-01-2022,APPLE.COM/BILL 866-712-7753 ON,-5.64
04-04-2022,APPLE.COM/BILL 866-712-7753 ON,-9.03
04-04-2022,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGL CA,-26.44
04-05-2022,BELL CANADA (OB) MONTREAL QC,-163.79
04-05-2022,BELL MOBILITY VERDUN QC,-427.31
04-05-2022,"ZACH CARLSEN COACHING WWW.ZACHCARLS MN AMT 2,250.00 UNIT ED STATES DOL LAR",-2819.7
04-07-2022,ADOBE STOCK SAN JOSE CA,-44.06
04-07-2022,TRESTA TALLAHASSEE FL AMT 19.29 UNIT ED STATES DOL LAR,-24.11
04-11-2022,APPLE.COM/BILL 866-712-7753 ON,-38.36
04-11-2022,CREDIT VOUCHER/RETURN PCPO-DURHAM TORONTO ON,5
04-11-2022,CREDIT VOUCHER/RETURN PCPO-DURHAM TORONTO ON,5
04-11-2022,DNH*GODADDY.COM 480-505-8855 AZ AMT 54.10 UNIT ED STATES DOL LAR,-68.28
04-12-2022,Amazon.ca www.amazon.ca ON,-69.6
04-12-2022,GODADDY.COM CANADA 480-5058855 BC,-241.67
04-13-2022,AMZN Mktp CA*1A63S83H0 WWW.AMAZON.CA ON,-27.1
04-13-2022,PC PAYMENT FROM *****00* 6114,5000
04-13-2022,UNBOUNCE VANCOUVER BC AMT 128.82 UNIT ED STATES DOL LAR,-163.15
04-14-2022,ANNUAL FEE,-199
04-14-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
04-14-2022,DNH*GODADDY.COM 480-5058855 A7 AMT 19.20 UNIT ED STATES DOL LAR,-24.34
04-14-2022,INTEREST CHARGES-PURCHASE,-81.09
04-14-2022,PAYPAL *MANTALKS 4029357733 BC,-35.61
04-14-2022,PAYPAL *UPS SCS INC 4029357733 ON,-20.13
04-14-2022,PCPO-WHITBY TORONTO ON,-5
04-18-2022,Amazon Downloads www.Amazon.ca ON,-4.21
04-18-2022,AMZN Mktp CA* 106RPOTY1 WWW.AMAZON.CA ON,-16.79
04-18-2022,AMZN Mktp CA*1O5EZ80C1 WWW.AMAZON.CAON,-9.03
04-18-2022,APPLE.COM/BILL 866-712-7753 ON,-7.9
04-20-2022,MB-CREDIT CARD/LOC PAY. FROM - *****00* 6114,590
04-21-2022,BELL MOBILITY VERDUN QC,-590.9
04-21-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-100
04-22-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-14.4
04-26-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-44.06
04-26-2022,ADOBE PRODUCTS SAN JOSE CA,-14.68
04-26-2022,APPLE.COM/BILL 866-712-7753 ON,-6.77
04-27-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
04-27-2022,DNH*GODADDY.COM https://www.g AZ AMT 54.10 UNIT ED STATES DOL LAR,-69.14
05-02-2022,Amazon Downloads www.Amazon.ca ON,-16.94
05-02-2022,CREDIT VOUCHER/RETURN PCPO-WHITBY TORONTO ON,5
05-02-2022,DNH*GODADDY.COM CAD 480-505-8855 BC,-451.99
05-02-2022,DROPBOX*D2X659KCBCLW DROPBOX.COM CA,-18.07
05-02-2022,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGL CA,-26.44
05-02-2022,MailChimp 000-0000000 GA,-129.2
05-02-2022,SHELL C08658 BOWMANVILLE ON,-100
05-03-2022,APPLE.COM/BILL 866-712-7753 ON,-9.03
05-05-2022,Amazon.ca*1Q92Y1RCO AMAZON.CA ON,-20.7
05-05-2022,APPLE.COM/BILL 866-712-7753 ON,-132.2
05-06-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-113.49
05-09-2022,ADOBE STOCK SAN JOSE CA,-44.06
05-09-2022,APPLE.COM/BILL 866-712-7753 ON,-62.14
05-09-2022,APPLE.COM/BILL 866-712-7753 ON,-38.36
05-09-2022,DNH*GODADDY.COM https://www.g AZ AMT 46.18 UNIT ED STATES DOL LAR,-59.44
05-09-2022,PAYPAL *GODADDY.COM 402-935-7733 AZ,-163.38
05-09-2022,TRESTA TALLAHASSEE FL AMT 19.29 UNIT ED STATES DOL LAR,-24.83
05-12-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
05-13-2022,128.82 UNIT ED STATES DOL LAR PC PAYMENT FROM 00* 6114,1000
05-13-2022,INTEREST CHARGES-PURCHASE,-37.35
05-13-2022,UNBOUNCE VANCOUVER BC AMT,-168.5
05-16-2022,PAYPAL *MANTALKS 4029357733 BC,-36.78
05-16-2022,STK*Shutterstock 866-6633954 NY AMT,-37.85
05-17-2022,29.00 UNIT ED STATES DOL LAR CDN TIRE GASBAR #01078 BOWMANVILLE ON,-116.81
05-19-2022,HENRY'S OSHAWA ON,-187.3
05-20-2022,FACEBK BUU3UCTM52 6 650-5434800 CA,-900
05-20-2022,ZOOM.US 888-799-9666 WWW.ZOOM.US CA,-135.6
05-24-2022,FACEBK YS6F9DFM52 650-5434800 CA,-900
05-24-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-14.68
05-24-2022,ULTRAMAR #32791 WHITBY ON,-110.11
05-25-2022,DNH*GODADDY.COM https://www.g AZ AMT 297.71 UNIT ED STATES DOL LAR,-382.91
05-26-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-44.06
05-26-2022,ADOBE PRODUCTS SAN JOSE CA,-14.68
05-26-2022,AMZN Mktp CA*1R8H83QZ2 WWW.AMAZON.CA ON,-35.02
05-26-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
05-27-2022,Amazon.ca*1R7NE5680 AMAZON.CA ON,-18.5
05-30-2022,FACEBK 7JGQMC3N52 650-5434800 CA,-900
05-31-2022,BEACONSTAC STARTER HTTPSWWW.BEAC NY AMT 60.00 UNIT ED STATES DOL LAR,-76.72
05-31-2022,DROPBOX*7B8JVMK351JTDROPBOX.CON CA,-18.07
05-31-2022,MailChimp 000-0000000 GA,-142.65
06-02-2022,APPLE.COM/BILL TORONTO ON,-6.77
06-02-2022,FACEBK NH8R6DTM52 650-5434800 CA,-1108
06-02-2022,GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
06-03-2022,APPLE.COM/BILL 866-712-7753 ON,-9.03
06-07-2022,ADOBE STOCKSANJOSE CA,-44.06
06-07-2022,TRESTA TALLAHASSEE FL AMT 19.29,-24.3
06-08-2022,PC PAYMENT FROM - 00* 5017,5000
06-09-2022,APPLE.COM/BILL 866-712-7753 ON,-38.36
06-09-2022,ASTLEY-GILBERT LTD NORTH YORK ON,-4969.74
06-09-2022,UNIT ED STATES DOL LAR APPLE.COM/BILL 866-712-7753 ON,-16.92
06-13-2022,UNBOUNCE VANCOUVER BC AMT,-165.1
06-14-2022,128.82 UNIT ED STATES DOL LAR APPLE.COM/BILL 866-712-7753 ON,-33.88
06-14-2022,APPLE.COM/BILL 866-712-7753 ON,-56.49
06-14-2022,PAYPAL *MANTALKS 4029357733 BC,-36.04
06-16-2022,CREDIT VOUCHER/RETURN APPLE.COM/BILL 866-712-7753 ON,28.24
06-20-2022,BELL CANADA (OB) MONTREAL QC,-327.58
06-20-2022,BELL MOBILITY VERDUN QC,-520.28
06-20-2022,MB-CREDIT CARD/LOC PAY. FROM - *****00* 5017,1000
06-21-2022,APPLE.COM/BILL 866-712-7753 ON,-135.59
06-23-2022,APPLE.COM/BILL TORONTO ON,-16.92
06-24-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-101
06-24-2022,KUULA PRO HTTPSKUULA.CO CA AMT 144.00 UNIT ED STATES DOL LAR,-187.5
06-24-2022,ROGERS ******4406 888-764-3771 ON,-410.55
06-27-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-44.06
06-27-2022,ADOBE PRODUCTS SAN JOSE CA,-14.68
06-27-2022,ONH*GODADDY.COM CANADA VICTORIA BC,-33.24
06-28-2022,Amazon.ca*JL23Y7F83 AMAZON.CA ON,-142.37
06-28-2022,BARNES&NOBLE.COM 800-843-2665 NY AMT 40.96 UNIT ED STATES DOL LAR,-53.2
06-28-2022,PC PAYMENT FROM *****00* 5017,7900
06-29-2022,"ZACH CARLSEN COACHING WWW.ZACHCARLS MN AMT 2,250.00 UNIT ED STATES DOL LAR",-2902.05
06-30-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-14.73
07-04-2022,APPLE.COM/BILL 866-712-7753 ON,-5.64
07-04-2022,APPLE.COM/BILL 866-712-7753 ON,-9.03
07-04-2022,DROPBOX*PWJD8TZXHXF9 DROPBOX.COM CA,-18.07
07-04-2022,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGL CA,-26.44
07-04-2022,MailChimp 000-0000000 GA,-143.95
07-05-2022,IN *COPETTI & CO. PROFESS 905-6662111 ON,-508.5
07-05-2022,IN *COPETTI & CO. PROFESS 905-6662111 ON,-1322.1
07-06-2022,Amazon Downloads www.Amazon.ca ON,-11.62
07-06-2022,Amazon Downloads www.Amazon.ca ON,-11.29
07-06-2022,AMZN Mktp CA*G34GQ6ZP3,-15.81
07-06-2022,DNH*GODADDY.COM 480-5058855 AZ AMT 162.79 UNIT ED STATES DOL LAR,-213.04
07-07-2022,ADOBE STOCK SAN JOSE CA,-44.06
07-07-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
07-07-2022,TRESTA TALLAHASSEE FL AMT 19.29 UNIT ED STATES DOI LAR,-25.24
07-11-2022,Amazon.ca*JY92L86S3 AMAZON CA ON,-18.07
07-11-2022,APPLE.COM/BILL 866-712-7753 ON,-38.36
07-11-2022,CITY OF TORONTO COURT SER TORONTO ON,-186.5
07-11-2022,CITY OF TORONTO COURT SER TORONTO ON,-357.5
07-14-2022,PAYPAL *MANTALKS 4029357733 BC,-36.7
07-18-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-16.35
07-20-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
07-20-2022,APPLE.COM/BILL 866-712-7753 ON,-116.38
07-25-2022,PC PAYMENT FROM *****00* 5017,7000
07-26-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-44.06
07-26-2022,ADOBE PRODUCTS SAN JOSE CA,-14.68
07-26-2022,BELL CANADA (OB) MONTREAL QC,-163.79
07-26-2022,BELL MOBILITY VERDUN QC,-520
07-27-2022,ASTLEY-GILBERT LTD NORTH YORK ON,-10000
07-28-2022,MB-CREDIT CARD/LOC PAY. FROM - *****00* 5017,10000
08-01-2022,ASTLEY-GILBERT LTD NORTH YORK ON,-10000
08-01-2022,DROPBOX*X3GPLG5VL66M DROPBOX.COM CA,-18.07
08-02-2022,GOOGLE*GSUITE MALEEHAS SUPPORT.GOOGL CA,-26.44
08-03-2022,APPLE.COM/BILL 866-712-7753 ON,-9.03
08-03-2022,MB-CREDIT CARD/LOC PAY. FROM - *****00* 5017,10000
08-04-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
08-05-2022,APPLE.COM/BILL 866-712-7753 ON,-141.79
08-05-2022,ASTLEY-GILBERT LTD NORTH YORK ON,-10220.68
08-08-2022,ADOBE STOCK SAN JOSE CA,-44.06
08-08-2022,TRESTA TALLAHASSEE FL AMT 19.29 UNIT ED STATES DOL LAR,-25.05
08-09-2022,APPLE.COM/BILL 866-712-7753 ON,-38.36
08-15-2022,PAYPAL *MANTALKS 4029357733 BC,-36.01
08-15-2022,TOP FOOD DISTRIBUTORS BOWMANVILLE ON,-53.2
08-16-2022,CDN TIRE GASBAR #01078 BOWMANVILLE ON,-132.62
08-18-2022,APPLE.COM/BILL 866-712-7753 ON,-16.92
08-22-2022,APPLE.COM/BILL 866-712-7753 ON,-8.46
08-22-2022,PAYPAL *HOSTGATOR 402-935-7733 FL,-16.19
08-23-2022,DNH*GODADDY.COM 480-5058855 AZ AMT,-319.05
08-26-2022,244.22 UNIT ED STATES DOL LAR ADOBE PRODUCTS SAN JOSE CA,-14.68
08-26-2022,ADOBE CREATIVE CLOUD SAN JOSE CA,-44.06
08-26-2022,MB-CREDIT CARD/LOC PAY. FROM *****00* 5017,5000
08-29-2022,Amazon Downloads www.Amazon.ca ON,-13.55
08-30-2022,DNH*GODADDY.COM https://www.g AZ AMT 122.11 UNIT ED STATES DOL LAR,-159.3
08-30-2022,PC PAYMENT FROM *****00* 5017,700
08-31-2022,BELL CANADA (OB) MONTREAL QC,-166
08-31-2022,BELL MOBILITY VERDUN QC,-525
08-31-2022,DROPBOX*ZX1JXTFZJTQ3 DROPBOX.COM CA,-18.07
