Date,Description,Amount
01-10-2022,BUSINESS PAD EMPTX 5004204 GOVERNMENT TAX PAYMENTS,-1481.84
01-10-2022,DEBIT MEMO 48331345 INTERAC E-TRANSFER,-1250
01-10-2022,FEDERAL PAYMENT CANADA,6780
01-10-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-17-2022,DEBIT MEMO 70192532 INTERAC E-TRANSFER,-175
01-17-2022,DEPOSIT HAMILTON ON 93310 490 69034914 MB-DEP,2260
01-17-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-20-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-20-2022,TRANSFER TO 000000098764251 INVESTMENT PURCHASE,-2000
01-20-2022,TRANSFER TO CR. CARD 72486243 PC-CRD.CARD/LOC PAYMENT,-5000
01-21-2022,BALANCE FORWARD DEBIT MEMO 72489063 INTERAC E-TRANSFER,-1250
01-21-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-21-2022,TRANSFER TO CR. CARD 74389692 PC-CRD.CARD/LOC PAYMENT,-870
01-24-2022,DEPOSIT HAMILTON ON 93310 490 90004312 MB-DEP,1019.76
01-24-2022,DEPOSIT HAMILTON ON 93310 490 90008993 MB-DEP,2260
01-24-2022,FEDERAL PAYMENT CANADA,1899.59
01-25-2022,DEBIT MEMO 05678636 INTERAC E-TRANSFER,-1250
01-25-2022,DEPOSIT HAMILTON ON 93310 490 90012891 MB-DEP,1666.66
01-28-2022,INTEREST CREDIT,14.65
01-28-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-31-2022,BALANCE FORWARD DEBIT MEMO 27198601 INTERAC E-TRANSFER,-175
01-31-2022,SERVICE CHARGE,-5
02-02-2022,DEBIT MEMO 34050628 INTERAC E-TRANSFER,-175
02-02-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
02-03-2022,DEBIT MEMO 38986675 INTERAC E-TRANSFER,-1250
02-03-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
02-04-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
02-08-2022,FEDERAL PAYMENT CANADA,6780
02-10-2022,ACCOUNTS PAYABLE CFC/FCC,3770.39
02-10-2022,DEBIT MEMO 67870125 INTERAC E-TRANSFER,-1250
02-11-2022,DEBIT MEMO 77464584 INTERAC E-TRANSFER,-175
02-11-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE TRANSFER TO CR. CARD 77396407 MB-CREDIT CARD/LOC PAY.,-1
02-11-2022,TRANSFER TO CR.CARD 77396407,-3800
02-14-2022,DEBIT MEMO 93280431 INTERAC E-TRANSFER,-350
02-14-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE TRANSFER TO CR. CARD 77396407 MB-CREDIT CARD/LOC PAY.,-1
02-17-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE TRANSFER TO CR. CARD 77396407 MB-CREDIT CARD/LOC PAY.,-1
02-18-2022,BALANCE FORWARD DEBIT MEMO 97589661 INTERAC E-TRANSFER,-1250
02-18-2022,BUSINESS PAD EMPTX 7008520 GOVERNMENT TAX PAYMENTS,-1130
02-18-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
02-22-2022,DEBIT MEMO 26599563 INTERAC E-TRANSFER,-1250
02-22-2022,TRANSFER TO 000000098764251 INVESTMENT PURCHASE,-2000
02-25-2022,INTEREST CREDIT,13.64
02-25-2022,SERVICE CHARGE,-5
02-25-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-03-2022,DEBIT MEMO 67507840 INTERAC E-TRANSFER,-350
03-03-2022,TRANSFER TO CR. CARD 57872392 PC-CRD.CARD/LOC PAYMENT,-4000
03-07-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-10-2022,DEBIT MEMO 02146821 INTERAC E-TRANSFER,-1250
03-10-2022,DEBIT MEMO 07467132 INTERAC E-TRANSFER,-10000
03-10-2022,FEDERAL PAYMENT CANADA,6780
03-10-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-14-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-15-2022,BUSINESS PAD EMPTX 4759928 GOVERNMENT TAX PAYMENTS,-2198.08
03-15-2022,DEPOSIT HAMILTON ON 93310 490 17101409 MB-DEP,833.33
03-15-2022,DEPOSIT HAMILTON ON 93310 490 17104473 MB-DEP,833.33
03-16-2022,BALANCE FORWARD DEBIT MEMO 17124738 INTERAC E-TRANSFER,-2394.41
03-16-2022,DEBIT MEMO 30784753 INTERAC E-TRANSFER,-1250
03-16-2022,DEPOSIT HAMILTON ON 93310 490 17107433 MB-DEP,1473.52
03-16-2022,DEPOSIT HAMILTON ON 93310 490 29310183 MB-DEP,3722.23
03-16-2022,DEPOSIT HAMILTON ON 93310 490 29313226 MB-DEP,13011.95
03-16-2022,FEDERAL PAYMENT CANADA,395.33
03-16-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-21-2022,DEBIT MEMO 52589537 INTERAC E-TRANSFER,-350
03-21-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-24-2022,DEBIT MEMO 54291652 INTERAC E-TRANSFER,-1250
03-24-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-25-2022,DEBIT MEMO 76040611 INTERAC E-TRANSFER,-1052.29
03-25-2022,DEBIT MEMO 76042189 INTERAC E-TRANSFER,-931.07
03-25-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-25-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-30-2022,INTEREST CREDIT,24.84
03-30-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
03-31-2022,BALANCE FORWARD DEBIT MEMO 94518785 INTERAC E-TRANSFER,-1250
03-31-2022,SERVICE CHARGE,-5
04-04-2022,DEBIT MEMO 27582208 INTERAC E-TRANSFER,-1250
04-04-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
04-11-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
04-13-2022,FEDERAL PAYMENT CANADA,6780
04-14-2022,DEBIT MEMO 58795574,-1250
04-14-2022,BUSINESS PAD EMPTX 3064528 GOVERNMENT TAX PAYMENTS INTERAC E-TRANSFER,-2198.08
04-18-2022,DEBIT MEMO 85838069 INTERAC E-TRANSFER,-1250
04-18-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
04-22-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE INTEREST CREDIT,-1
04-22-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE INTEREST CREDIT,31.83
04-29-2022,SERVICE CHARGE,-5
05-03-2022,FEDERAL PAYMENT CANADA,169.5
05-10-2022,DEBIT MEMO 86499891 INTERAC E-TRANSFER,-1250
05-10-2022,FEDERAL PAYMENT CANADA,6780
05-13-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
05-16-2022,BUSINESS PAD EMPTX 3750578 GOVERNMENT TAX PAYMENTS,-2198.08
05-16-2022,DEBIT MEMO 16107087 INTERAC E-TRANSFER,-1250
05-20-2022,DEPOSIT HAMILTON ON 93310 490 27528734 MB-DEP,2542.5
05-20-2022,DEPOSIT HAMILTON ON 933104 27530990 MB-DEP,1977.5
05-20-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
05-24-2022,DEPOSIT HAMILTON ON 93310 490 27534484 MB-DEP,2250.11
05-26-2022,CREDIT MEMO 40281733 FREE INTERAC E-TRANSFER,8830.95
05-26-2022,DEBIT MEMO 42892512 INTERAC E-TRANSFER,-1250
05-27-2022,INTEREST CREDIT,60.81
05-27-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
05-31-2022,DEBIT MEMO 79029816 INTERAC E-TRANSFER,-1250
05-31-2022,SERVICE CHARGE,-5
06-03-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
06-08-2022,DEBIT MEMO 14816975 INTERAC E-TRANSFER,-1250
06-08-2022,TRANSFER TO CR. CARD 00329044 PC-CRD. CARD/LOC PAYMENT,-5000
06-13-2022,DEBIT MEMO 40430134 INTERAC E-TRANSFER,-1250
06-13-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
06-17-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
06-17-2022,TRANSFER TO CR. CARD 43570759 MB-CREDIT CARD/LOC PAY.,-1000
06-20-2022,MB-CREDIT CARD/LOC PAY DEPOSIT HAMILTON ON 93310 490,833.33
06-20-2022,MB-CREDIT CARD/LOC PAY DEPOSIT HAMILTON ON 93310 490,339
06-20-2022,MB-CREDIT CARD/LOC PAY DEPOSIT HAMILTON ON 93310 490,11999.87
06-20-2022,TRANSFER TO CR. CARD 43571745 MB-CREDIT CARD/LOC PAY.,-500
06-21-2022,DEPOSIT,8153.74
06-21-2022,DEPOSIT HAMILTON ON 93310 490 55216934 MB-DEP,6394.59
06-21-2022,DEPOSIT HAMILTON ON 93310 490 55220240 MB-DEP,226
06-21-2022,DEPOSIT HAMILTON ON 93310 490 55222628 MB-DEP,1130
06-22-2022,DEBIT MEMO 69793459 INTERAC E-TRANSFER,-1250
06-22-2022,FEDERAL PAYMENT CANADA,6780
06-24-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
06-28-2022,TRANSFER TO CR. CARD 83605393 PC-CRD. CARD/LOC PAYMENT,-7900
06-29-2022,BUSINESS PAD GST34 8925015 GOVERNMENT TAX PAYMENTS,-12800.35
06-30-2022,BALANCE FORWARD DEBIT MEMO 04253778 INTERAC E-TRANSFER,-1250
06-30-2022,INTEREST CREDIT,99.72
06-30-2022,SERVICE CHARGE,-5
07-04-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
07-08-2022,DEBIT MEMO 37769405 INTERAC E-TRANSFER,-1250
07-08-2022,FEDERAL PAYMENT CANADA,6780
07-11-2022,DEBIT MEMO 37769405 INTERAC E-TRANSFER,-1250
07-11-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
07-18-2022,BUSINESS PAD TXINS 8984030 GOVERNMENT TAX PAYMENTS,-5265
07-18-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
07-19-2022,BUSINESS PAD TXINS 8984260 GOVERNMENT TAX PAYMENTS,-13405
07-19-2022,DEPOSIT HAMILTON ON 93310 490 98153468 MB-DEP,3719.87
07-19-2022,DEPOSIT HAMILTON ON 93310 490 98156879 MB-DEP,833.33
07-21-2022,DEBIT MEMO 09662485 INTERAC E-TRANSFER,-1250
07-21-2022,DEPOSIT HAMILTON ON 93310 490 98162123 MB-DEP,1666.66
07-21-2022,TRANSFER TO CR. CARD 18326567 PC-CRD. CARD/LOC PAYMENT,-7000
07-25-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
07-28-2022,DEBIT MEMO 43957954 INTERAC E-TRANSFER,-1250
07-28-2022,INTEREST CREDIT,124.46
07-28-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
07-28-2022,TRANSFER TO CR. CARD 34282911 MB-CREDIT CARD/LOC PAY.,-10000
07-29-2022,SERVICE CHARGE,-10
08-03-2022,CREDIT MEMO 87456543 FREE INTERAC E-TRANSFER,7401.5
08-03-2022,TRANSFER TO CR. CARD 71513584 MB-CREDIT CARD/LOC PAY.,-10000
08-05-2022,CREDIT MEMO 87484993 FREE INTERAC E-TRANSFER,1695
08-05-2022,DEBIT MEMO 88980953 INTERAC E-TRANSFER,-1250
08-08-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
08-09-2022,CREDIT MEMO 15403885 FREE INTERAC E-TRANSFER,1412.5
08-09-2022,FEDERAL PAYMENT CANADA,904
08-11-2022,DEBIT MEMO 21393294 INTERAC E-TRANSFER,-1250
08-11-2022,FEDERAL PAYMENT CANADA,6780
08-12-2022,BUSINESS PAD EMPTX 7249508 GOVERNMENT TAX PAYMENTS,-2198.08
08-12-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
08-18-2022,BUSINESS PAD GST34 7254756 GOVERNMENT TAX PAYMENTS,-4668.66
08-18-2022,DEBIT MEMO 62955498 INTERAC E-TRANSFER,-1250
08-22-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
08-26-2022,DEBIT MEMO 83885112 INTERAC E-TRANSFER,-1250
08-26-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
08-26-2022,TRANSFER TO CR. CARD 83881986 MB-CREDIT CARD/LOC PAY.,-5000
08-26-2022,TRANSFER TO CR. CARD 83883825 MB-CREDIT CARD/LOC PAY.,-1000
08-29-2022,DEPOSIT HAMILTON ON 93310 490 97628081 MB-DEP,305.77
08-30-2022,INTEREST CREDIT,155.82
08-30-2022,TRANSFER TO CR. CARD 03377842 PC-CRD.CARD/LOC PAYMENT,-700
08-31-2022,BALANCE FORWARD DEBIT MEMO 25075730 INTERAC E-TRANSFER,-1250
08-31-2022,SERVICE CHARGE,-10
09-06-2022,DEBIT MEMO 54785969 INTERAC E-TRANSFER,-1250
09-06-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
09-12-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
09-14-2022,DEBIT MEMO 81543085 INTERAC E-TRANSFER,-1250
09-14-2022,FEDERAL PAYMENT CANADA,9040
09-16-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
09-20-2022,TRANSFER TO 13862 00868 19 96998886 MB-TRANSFER,-70000
09-21-2022,BUSINESS PAD EMPTX 303218 GOVERNMENT TAX PAYMENTS,-2198.08
09-21-2022,INTEREST CREDIT,81.52
09-29-2022,SERVICE CHARGE,-5
10-27-2022,CREDIT MEMO 66277790 FREE INTERAC E-TRANSFER,2000
10-27-2022,CREDIT MEMO 69140487 FREE INTERAC E-TRANSFER,1412.5
10-28-2022,CREDIT MEMO 69668368 FREE INTERAC E-TRANSFER,1260.05
11-14-2022,DEBIT MEMO 58581663 INTERAC E-TRANSFER,-1250
11-14-2022,MB BILL PAYMENT AVIVA INSURANCE - HOME & AUTO 51325017,-1334
11-16-2022,SERVICE CHARGE,-1
11-17-2022,DEBIT MEMO 71152051 INTERAC E-TRANSFER,-1250
11-17-2022,FEDERAL PAYMENT CANADA,6780
11-18-2022,DEBIT MEMO 03045462 INTERAC E-TRANSFER,-1250
11-18-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
11-25-2022,SERVICE CHARGE,-1
11-28-2022,FEDERAL PAYMENT,0.79
11-28-2022,FEDERAL PAYMENT CANADA INTEREST CREDIT,904
11-30-2022,SERVICE CHARGE,-5
12-15-2022,BUSINESS PAD EMPTX 4653384 GOVERNMENT TAX PAYMENTS,-1429.64
12-15-2022,DEBIT MEMO 08697263 INTERAC E-TRANSFER,-1250
12-15-2022,TRANSFER TO CR. CARD 16799115 MB-CREDIT CARD/LOC PAY.,-250
12-19-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
12-20-2022,DEBIT MEMO 32852988 INTERAC E-TRANSFER,-1250
12-20-2022,FEDERAL PAYMENT CANADA,6780
12-22-2022,INTEREST CREDIT,11.54
12-22-2022,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
12-30-2022,SERVICE CHARGE,-5
01-04-2023,DEBIT MEMO 91134495 INTERAC E-TRANSFER,-1250
01-04-2023,TRANSFER TO CR. CARD 85362006 MB-CREDIT CARD/LOC PAY.,-5000
01-05-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-06-2023,FEDERAL PAYMENT CANADA,6780
01-13-2023,BUSINESS PAD EMPTX 2220100 GOVERNMENT TAX PAYMENTS,-1481
01-19-2023,CREDIT MEMO 57417428 FREE INTERAC E-TRANSFER,1412.5
01-19-2023,DEBIT MEMO 59734523 INTERAC E-TRANSFER,-1250
01-20-2023,DEBIT MEMO 70988340 INTERAC E-TRANSFER,-5000
01-20-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-23-2023,DEBIT MEMO 90547405,-1250
01-23-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-27-2023,INTEREST CREDIT,21.2
01-27-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
01-31-2023,DEBIT MEMO 27482112,-1250
01-31-2023,SERVICE CHARGE,-5
02-03-2023,FEDERAL PAYMENT CANADA,6780
02-03-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
02-10-2023,TRANSFER TO 13862 00868 19 59242824 MB-TRANSFER,-8000
03-15-2023,FEDERAL PAYMENT CANADA,6780
03-31-2023,BALANCE FORWARD DEBIT MEMO 97875726 INTERAC E-TRANSFER,-1250
04-03-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
04-04-2023,FEDERAL PAYMENT CANADA,493.99
04-13-2023,DEBIT MEMO 21333041 INTERAC E-TRANSFER,-1500
04-13-2023,DEBIT MEMO 21335162 INTERAC E-TRANSFER,-2500
04-13-2023,FEDERAL PAYMENT CANADA,6780
04-13-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
04-13-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
04-28-2023,INTEREST CREDIT,20.76
05-03-2023,CREDIT MEMO 48079369 FREE INTERAC E-TRANSFER,1412.5
05-08-2023,TRANSFER TO 13862 00868 19 61080859 PC-TRANSFER,-10000
05-12-2023,DEBIT MEMO 98062869 INTERAC E-TRANSFER,-1250
05-12-2023,FEDERAL PAYMENT CANADA,6780
05-15-2023,DEBIT MEMO 61946209 INTERAC E-TRANSFER,-2500
05-15-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
05-29-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
05-31-2023,INTEREST CREDIT,9.33
06-06-2023,MB BILL PAYMENT CAPITAL ONE MASTERCARD 05585919,-61
06-08-2023,DEBIT MEMO 57235322 INTERAC E-TRANSFER,-1250
06-08-2023,FEDERAL PAYMENT CANADA,6780
06-19-2023,DEBIT MEMO 17942810,-350
06-19-2023,INTEREST CREDIT,23.96
06-19-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
06-19-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
06-30-2023,SERVICE CHARGE,-5
07-13-2023,FEDERAL PAYMENT CANADA,5085
07-14-2023,TRANSFER TO 13862 00868 19 84945975 PC-TRANSFER,-13500
07-18-2023,CREDIT MEMO 04735579 FREE INTERAC E-TRANSFER,1412.5
07-18-2023,DEBIT MEMO 20384869,-1250
07-21-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
07-31-2023,INTEREST CREDIT,13.49
08-02-2023,DEBIT MEMO 02843626,-1250
08-02-2023,FEDERAL PAYMENT CANADA DEBIT MEMO 02843626,5085
08-08-2023,DEBIT MEMO 56622652,-1250
08-08-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
08-21-2023,DEBIT MEMO 89150405,-1250
08-21-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
08-28-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
08-28-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE DEBIT MEMO 00251213 INTERAC E-TRANSFER,-2500
08-29-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
08-31-2023,BALANCE FORWARD DEBIT MEMO 32871837 INTERAC E-TRANSFER,-37.5
09-05-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
09-12-2023,DEBIT MEMO 21707761,-1250
09-12-2023,FEDERAL PAYMENT CANADA,5085
09-25-2023,DEBIT MEMO 43462853,-1250
09-25-2023,INTERAC E-TRANSFER SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
09-28-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
10-05-2023,CREDIT MEMO 75369464,2202.1
10-05-2023,DEBIT MEMO 83593436,-1250
10-06-2023,CREDIT MEMO 10144348 FREE INTERAC E-TRANSFER,1412.5
10-06-2023,DEBIT MEMO 08279738 INTERAC E-TRANSFER,-1250
10-06-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
10-13-2023,DEBIT MEMO 42651123,-1250
10-13-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
10-23-2023,SERVICE CHARGE INTERAC E-TRANSFER FEE,-1
